Player_Name,Age,Batting_style,Position,Bowling_Style,Image
Abbas Afridi,23y 49d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Abrar Ahmed,25y 256d,Right hand Bat,Bowler,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Haris Rauf,30y 199d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mohammad Amir,32y 41d,Left hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Naseem Shah,21y 99d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shaheen Shah Afridi,24y 48d,Left hand Bat,Bowler,Left arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Assad Vala,36y 277d,Left hand Bat,Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sese Bau,31y 320d,Left hand Bat,Middle order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kiplin Doriga,28y 203d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Hiri Hiri,29y 7d,Right hand Bat,Middle order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Lega Siaka,31y 139d,Right hand Bat,Opening Batter,"Right arm Fast medium, Legbreak",https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tony Ura,34y 206d,Right hand Bat,Opening Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Hila Vare,22y 272d,Left hand Bat,Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Charles Amini,32y 24d,Left hand Bat,Allrounder,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jack Gardner,23y 137d,None,Bowler,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Semo Kamea,22y 261d,Left hand Bat,Bowler,Left arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
John Kariko,20y 113d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kabua Morea,30y 221d,Right hand Bat,Bowler,Left arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Alei Nao,30y 151d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Chad Soper,32y 171d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Norman Vanua,30y 158d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Richie Berrington,37y 33d,Right hand Bat,Top order Batter,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Matthew Cross,31y 204d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ollie Hairs,33y 22d,Left hand Bat,Opening Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Michael Jones,26y 122d,Right hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
George Munsey,31y 75d,Left hand Bat,Opening Batter,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Charlie Tear,19y 329d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Michael Leask,33y 190d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Brandon McMullen,24y 201d,Right hand Bat,Batting Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Brad Currie,25y 180d,Right hand Bat,Bowler,Left arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Chris Greaves,33y 207d,Right hand Bat,Bowler,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jack Jarvis,20y 343d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Safyaan Sharif,32y 348d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Chris Sole,30y 69d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mark Watt,27y 282d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Brad Wheal,27y 252d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Quinton de Kock,31y 135d,Left hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Reeza Hendricks,34y 260d,Right hand Bat,Opening Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Heinrich Klaasen,32y 275d,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
David Miller,34y 325d,Left hand Bat,Middle order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ryan Rickelton,27y 294d,Left hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tristan Stubbs,23y 260d,Right hand Bat,Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Aiden Markram,29y 209d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Marco Jansen,23y 365d,Right hand Bat,Bowling Allrounder,Left arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ottneil Baartman,31y 43d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Gerald Coetzee,23y 211d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bjorn Fortuin,29y 192d,Right hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Keshav Maharaj,34y 83d,Right hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Anrich Nortje,30y 166d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kagiso Rabada,28y 341d,Left hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tabraiz Shamsi,34y 72d,Right hand Bat,Bowler,Left arm Wrist spin,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kusal Mendis,29y 97d,Right hand Bat,Wicketkeeper Batter,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Pathum Nissanka,25y 357d,Right hand Bat,Top order Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sadeera Samarawickrama,28y 253d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Wanindu Hasaranga,26y 285d,Right hand Bat,Allrounder,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Charith Asalanka,26y 315d,Left hand Bat,Batting Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dhananjaya de Silva,32y 246d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Angelo Mathews,36y 342d,Right hand Bat,Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kamindu Mendis,25y 222d,Left hand Bat,Allrounder,"Right arm Offbreak, Slow Left arm Orthodox",https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dasun Shanaka,32y 243d,Right hand Bat,Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dushmantha Chameera,32y 119d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dilshan Madushanka,23y 234d,Right hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Matheesha Pathirana,21y 143d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Maheesh Theekshana,23y 282d,Right hand Bat,Bowler,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nuwan Thushara,29y 277d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dunith Wellalage,21y 121d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Fred Achelam,23y 100d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Roger Mukasa,34y 350d,Right hand Bat,Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Robinson Obuya,23y 146d,Right hand Bat,Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ronak Patel,35y 262d,Right hand Bat,Batter,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Simon Ssesazi,27y 260d,Left hand Bat,Wicketkeeper Batter,Right arm Slow,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Riazat Ali Shah,26y 76d,Right hand Bat,Batting Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Dinesh Nakrani,32y 228d,Left hand Bat,Allrounder,Left arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Frank Nsubuga,43y 252d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Alpesh Ramjani,29y 225d,Left hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kenneth Waiswa,25y 177d,Right hand Bat,Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Brian Masaba,32y 227d,Right hand Bat,Bowler,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Bilal Hassan,34y 21d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Cosmas Kyewuta,22y 130d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Juma Miyagi,21y 31d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Henry Ssenyondo,30y 268d,Right hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Monank Patel,31y 2d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Aaron Jones,29y 197d,Right hand Bat,Top order Batter,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Andries Gous,30y 161d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nitish Kumar,29y 348d,Right hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shayan Jahangir,29y 131d,Right hand Bat,Batter,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Steven Taylor,30y 176d,Left hand Bat,Opening Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Corey Anderson,33y 142d,Left hand Bat,Batting Allrounder,Left arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Harmeet Singh,31y 239d,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Milind Kumar,33y 78d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nisarg Patel,36y 13d,Right hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shadley van Schalkwyk,35y 272d,Left hand Bat,Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ali Khan,33y 142d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jasdeep Singh,31y 83d,Right hand Bat,Bowler,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nosthush Kenjige,33y 62d,Right hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Saurabh Netravalkar,32y 200d,Right hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rovman Powell,30y 285d,Right hand Bat,Middle order Batter,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Johnson Charles,35y 110d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shimron Hetmyer,27y 129d,Left hand Bat,Middle order Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shai Hope,30y 175d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nicholas Pooran,28y 214d,Left hand Bat,Wicketkeeper Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Sherfane Rutherford,25y 262d,Left hand Bat,Middle order Batter,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Brandon King,29y 139d,Right hand Bat,Top order Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Roston Chase,32y 42d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Kyle Mayers,31y 238d,Left hand Bat,Batting Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Andre Russell,36y 4d,Right hand Bat,Allrounder,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Romario Shepherd,29y 159d,Right hand Bat,Bowling Allrounder,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Jason Holder,32y 180d,Right hand Bat,Bowling Allrounder,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Alzarri Joseph,27y 165d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Akeal Hosein,31y 8d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Shamar Joseph,24y 246d,Left hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Obed McCoy,27y 120d,Left hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Gudakesh Motie,29y 35d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
